product_id,name,variant_label,image,cost_price,sell_price,profit,match_status
PROD-0001,✅6PCS Set Rose Gold Luxury Watch Women Ring Necklace Earring Rhinestone Fashion✅ |,,https://i.ibb.co/Rkv2ctKw/0001-6pcs-set-rose-gold-luxury-watch-women-ring-necklac-jpg.jpg,"₦52,752","₦68,500","₦15,748",matched
PROD-0002,10 Inch Plush Stuffed Teddy Bear with Red Heart and Rose for Valentine’s Brown,,https://i.ibb.co/Z69LchXc/0002-10-inch-plush-stuffed-teddy-bear-with-red-heart-an-jpg.jpg,"₦66,410","₦84,900","₦18,490",matched
PROD-0003,10” Plush Teddy Bear Stuffed Animal Doll Soft Plushies Toy Valentine’s Day Gift,,https://i.ibb.co/PGGLL01x/0003-10-plush-teddy-bear-stuffed-animal-doll-soft-plush-jpg.jpg,"₦34,170","₦44,900","₦10,730",matched
PROD-0004,11oz Magic Color Change Coffee Mug Custom Photo Text Best Holiays Unique Gifts,,https://i.ibb.co/jPTVKqMR/0004-11oz-magic-color-change-coffee-mug-custom-photo-te-png.png,"₦55,944","₦71,500","₦15,556",matched
PROD-0005,12” Plush Teddy Bear Stuffed Animals Soft Plushies Toy Kids Christmas Gifts,,https://i.ibb.co/qMYJPy7w/0005-12-plush-teddy-bear-stuffed-animals-soft-plushies-jpg.jpg,"₦37,020","₦50,900","₦13,880",matched
PROD-0006,"13pc Birthday Gift Basket for Men – Tumbler, Toiletry & Essentials Set",,https://i.ibb.co/dTTN80k/0006-13pc-birthday-gift-basket-for-men-tumbler-toiletry-png.png,"₦97,500","₦120,900","₦23,400",matched
PROD-0007,17″ Soft Brown Plush Teddy Bear,,https://i.ibb.co/chnfvkpw/0007-17-soft-brown-plush-teddy-bear-png.png,"₦37,500","₦50,900","₦13,400",matched
PROD-0008,18-Piece Eternal Soap Rose Bouquet,"Model Name: Red, 18 Flower • Lot Size: 1 Pack",https://i.ibb.co/RTLS2BVW/0008-18-piece-eternal-soap-rose-bouquet-jpg.jpg,"₦64,652","₦82,900","₦18,248",matched_variant
PROD-0008,18-Piece Eternal Soap Rose Bouquet,"Model Name: Red, 18 Flower • Lot Size: 2 Pack",https://i.ibb.co/RTLS2BVW/0008-18-piece-eternal-soap-rose-bouquet-jpg.jpg,"₦102,456","₦129,900","₦27,444",matched_variant
PROD-0009,18-Piece Rose Bouquet – Floral Scented Gift Box,,https://i.ibb.co/mF1DcBTs/0009-18-piece-rose-bouquet-floral-scented-gift-box-jpg.jpg,"₦70,000","₦88,900","₦18,900",matched
PROD-0010,18PCS Multi-Use Soap Flower Bouquet​ with Gift Box Luxury Soap Florals​ Simulation Rose Bouquet Wife Girlfriend Gift,Color: Blue,https://i.ibb.co/Ngmkmn4M/0010-18pcs-multi-use-soap-flower-bouquet-with-gift-box-webp.webp,"₦41,907","₦54,900","₦12,993",matched_variant
PROD-0010,18PCS Multi-Use Soap Flower Bouquet​ with Gift Box Luxury Soap Florals​ Simulation Rose Bouquet Wife Girlfriend Gift,Color: Pink,https://i.ibb.co/Ngmkmn4M/0010-18pcs-multi-use-soap-flower-bouquet-with-gift-box-webp.webp,"₦41,907","₦54,900","₦12,993",matched_variant
PROD-0010,18PCS Multi-Use Soap Flower Bouquet​ with Gift Box Luxury Soap Florals​ Simulation Rose Bouquet Wife Girlfriend Gift,Color: Red,https://i.ibb.co/Ngmkmn4M/0010-18pcs-multi-use-soap-flower-bouquet-with-gift-box-webp.webp,"₦42,914","₦55,500","₦12,586",matched_variant
PROD-0011,18Pcs/set Bouquet Party Decoration Carnation Mix Up Flower Set Gift Box Birthday Celebration Girlfriend Gifts,Color: Blue,https://i.ibb.co/1G52vHpP/0011-18pcsset-bouquet-party-decoration-carnation-mix-up-webp.webp,"₦80,046","₦102,900","₦22,854",matched_variant
